name,full_name,ra,dec,size_arcmin,mag,type,subtype,constellation,filter_boost,why,tip
M8,M8 – Lagoon Nebula,18:03:37,-24:23,90,6.0,nebula,emission,Sagittarius,True,"Large, bright emission nebula. Pairs with M20 in one wide-field frame.",Ha or UHC filter reduces skyglow. Frame M8 and M20 together.
M17,M17 – Omega Nebula,18:20:26,-16:10,46,6.0,nebula,emission,Sagittarius,True,One of the brightest emission nebulae. Swan-shaped core is striking even in short exposures.,Ha filter makes this pop. Center on the bright swan shape.
M20,M20 – Trifid Nebula,18:02:23,-23:02,28,6.3,nebula,emission,Sagittarius,True,"Unique mix of emission, reflection, and dark lanes. Same field of view as M8.",Use OIII alongside Ha to reveal the blue reflection lobe.
M16,M16 – Eagle Nebula,18:18:48,-13:47,35,6.4,nebula,emission,Serpens,True,Home of the Pillars of Creation. Rich star cluster embedded in glowing gas.,Ha+OIII bicolor will reveal pillar structure. At least 2h total integration recommended.
M42,M42 – Orion Nebula,5:35:17,-5:23,85,4.0,nebula,emission,Orion,True,The brightest emission nebula in the sky. Enormous at 85 arcmin — fills any wide-field frame.,Short subs (30-60s) to avoid core overexposure. Ha filter brings out incredible detail.
M43,M43 – De Mairan's Nebula,5:35:31,-5:16,20,9.0,nebula,emission,Orion,True,Small emission nebula just north of M42. Often imaged together in a wide frame.,Include in M42 framing. Same exposure settings work for both.
M78,M78 – Reflection Nebula,5:46:46,+0:03,8,8.3,nebula,reflection,Orion,False,"Brightest reflection nebula, glowing blue around embedded stars.",No emission-line filter — this is a reflection nebula. Broadband LRGB works best.
NGC7000,NGC 7000 – North America Nebula,20:58:47,+44:20,120,4.0,nebula,emission,Cygnus,True,Enormous emission nebula — the continental shape only appears with a narrowband filter.,Absolutely needs Ha or UHC filter from suburban sites. Pair with IC 5070 in one shot.
IC5070,IC 5070 – Pelican Nebula,20:50:48,+44:21,60,8.0,nebula,emission,Cygnus,True,Sits right next to NGC 7000 — both fit in a single wide-field frame.,Ha filter is essential. The beak region shows intense ionisation fronts.
NGC6888,NGC 6888 – Crescent Nebula,20:12:07,+38:21,20,7.4,nebula,emission,Cygnus,True,Wolf-Rayet stellar bubble with dramatic shell structure. Responds beautifully to Ha and OIII.,Bicolor Ha+OIII gives a spectacular result.
NGC6992,NGC 6992 – Eastern Veil,20:56:24,+31:43,60,7.0,nebula,supernova_remnant,Cygnus,True,Supernova remnant with intricate filament structure. Glows beautifully in OIII.,OIII filter is ideal. Combine with NGC 6960 for the full Veil complex.
NGC6960,NGC 6960 – Western Veil,20:45:38,+30:43,70,7.0,nebula,supernova_remnant,Cygnus,True,Western arc of the Veil Nebula supernova remnant. Passes through the star 52 Cygni.,OIII filter brings out the filaments dramatically. Pair with NGC 6992 for a mosaic.
NGC6974,NGC 6974 – Veil Nebula Knot,20:50:48,+31:30,20,8.0,nebula,supernova_remnant,Cygnus,True,Central knot of the Veil Nebula complex. Completes the full supernova remnant mosaic.,Include in a full Veil mosaic with NGC 6960 and NGC 6992. OIII filter.
IC1318,IC 1318 – Butterfly Nebula,20:22:00,+40:15,180,8.0,nebula,emission,Cygnus,True,Massive emission complex surrounding the star Sadr (Gamma Cygni). Fills a very wide frame.,Ultra-wide field only. Ha filter mandatory. A mosaic project.
NGC2237,NGC 2237 – Rosette Nebula,6:33:45,+4:59,80,9.0,nebula,emission,Monoceros,True,Huge and photogenic emission nebula surrounding an open cluster.,Ha filter is a must. Long integration rewards patience.
IC434,IC 434 – Horsehead Nebula,5:40:59,-2:27,8,6.8,nebula,dark,Orion,True,Iconic dark nebula silhouetted against a bright emission background.,Ha filter essential. Frame with the Flame Nebula (NGC 2024) for a dramatic composition.
NGC2024,NGC 2024 – Flame Nebula,5:41:54,-1:51,30,2.0,nebula,emission,Orion,True,Bright emission nebula next to Alnitak (Zeta Orionis). Often framed with the Horsehead.,Ha filter needed. The star Alnitak will bloom without a filter — use a spike diffuser.
NGC1499,NGC 1499 – California Nebula,4:00:42,+36:37,160,6.0,nebula,emission,Perseus,True,One of the largest emission nebulae — only wide-field instruments can capture the whole cloud.,RedCat-range focal lengths ideal. Ha filter mandatory from any lit area.
NGC1977,NGC 1977 – Running Man Nebula,5:35:17,-4:52,40,7.0,nebula,reflection,Orion,False,Beautiful reflection nebula just north of M42. Often included in wide M42 frames.,Broadband only — reflection nebula. Pairs naturally with M42 in a wide-field composition.
IC2177,IC 2177 – Seagull Nebula,7:05:00,-10:30,120,7.0,nebula,emission,Monoceros,True,Large emission nebula with a distinctive bird-like shape. Winter target.,Ha filter essential. Wide field needed for the full wings (120 arcmin).
NGC7822,NGC 7822 – Cedar Cave Nebula,0:03:36,+68:37,60,7.0,nebula,emission,Cepheus,True,Emission nebula complex in Cepheus with dramatic pillar structures.,Ha+OIII bicolor reveals beautiful pillar and bubble structures.
IC1805,IC 1805 – Heart Nebula,2:32:42,+61:27,150,6.5,nebula,emission,Cassiopeia,True,Large emission nebula shaped like a human heart. Often paired with IC 1848 (Soul Nebula).,Ha filter essential. Pairs with IC 1848 in a very wide mosaic.
IC1848,IC 1848 – Soul Nebula,2:51:00,+60:24,150,6.5,nebula,emission,Cassiopeia,True,Massive emission nebula next to the Heart Nebula. Together they span nearly 5 degrees.,Ha filter essential. Pairs with IC 1805 in one of the most iconic wide-field combos.
NGC281,NGC 281 – Pacman Nebula,0:52:59,+56:37,35,7.4,nebula,emission,Cassiopeia,True,Emission nebula with a distinctive open cluster at its center. The Pacman shape is clear in Ha.,Ha+OIII bicolor gives great contrast. Well-placed in autumn skies.
NGC896,NGC 896 – part of IC 1805,2:26:00,+61:54,30,7.5,nebula,emission,Cassiopeia,True,Bright patch within the Heart Nebula complex.,Include in wider Heart Nebula frames.
NGC6820,NGC 6820 – Fox Fur Nebula,19:43:09,+23:17,40,8.5,nebula,emission,Vulpecula,True,Emission nebula surrounding the cluster NGC 6823. Dramatic dark pillar structures.,Ha filter reveals the pillars beautifully. Same region as M27.
IC5146,IC 5146 – Cocoon Nebula,21:53:29,+47:16,10,7.2,nebula,emission,Cygnus,True,Emission nebula at the tip of a long dark nebula streamer (Barnard 168).,Ha filter works well. Frame with the dark nebula trailing away from the cocoon.
NGC7023,NGC 7023 – Iris Nebula,21:01:36,+68:10,18,6.8,nebula,reflection,Cepheus,False,One of the most beautiful reflection nebulae — glowing blue around a bright star.,Broadband only. Medium focal length (500-700mm) captures the full dusty surround.
vdB1,vdB 1 – van den Bergh 1,0:11:26,+58:50,10,10.5,nebula,reflection,Cassiopeia,False,Small but photogenic reflection nebula. A challenging target for dark skies.,"Long integration required. Broadband, no filter."
SH2-240,Sh2-240 – Simeis 147,5:39:00,+27:55,180,6.0,nebula,supernova_remnant,Taurus,True,Enormous faint supernova remnant spanning 3 degrees. Needs Ha filter and very wide field.,Very challenging — needs Ha and long integration. Ultra-wide field mosaic.
NGC6543,NGC 6543 – Cat's Eye Nebula,17:58:33,+66:38,0.3,8.1,nebula,planetary,Draco,True,One of the most structurally complex planetary nebulae. Very small — needs long focal length.,Needs 1000mm+ to resolve structure. OIII filter. An advanced challenge.
NGC3242,NGC 3242 – Ghost of Jupiter,10:24:46,-18:38,0.7,7.7,nebula,planetary,Hydra,True,Bright planetary nebula with a distinctive blue-green colour. Compact but bright.,Needs 800mm+ focal length. OIII filter brings out the colour well.
NGC2392,NGC 2392 – Eskimo Nebula,7:29:11,+20:55,0.7,9.1,nebula,planetary,Gemini,True,Double-shelled planetary nebula. Requires long focal length to resolve the inner structure.,Needs 1000mm+ focal length. Ha+OIII bicolor for best result.
NGC7662,NGC 7662 – Blue Snowball,23:25:54,+42:33,0.5,8.3,nebula,planetary,Andromeda,True,Bright blue planetary nebula. Very compact — for long focal length telescopes.,Needs 1000mm+. OIII filter gives a beautiful blue glow.
M1,M1 – Crab Nebula,5:34:32,+22:01,7,8.4,nebula,supernova_remnant,Taurus,True,Remnant of the 1054 AD supernova. Bright and compact supernova remnant.,Ha+OIII bicolor gives spectacular filament detail. At least 3h integration recommended.
M27,M27 – Dumbbell Nebula,19:59:36,+22:43,15,7.5,nebula,planetary,Vulpecula,True,Largest and brightest planetary nebula in the sky.,OIII filter dramatically improves contrast. A little focal length helps resolve the shape.
M57,M57 – Ring Nebula,18:53:35,+33:01,3,8.8,nebula,planetary,Lyra,True,Classic planetary nebula ring. Small but bright.,OIII filter reveals the faint outer halo with enough integration. Needs 500mm+.
M76,M76 – Little Dumbbell,1:42:20,+51:34,3,10.1,nebula,planetary,Perseus,True,Faint planetary nebula — a challenge for suburban skies. Shaped like M27 but much smaller.,Needs dark skies and long focal length. Ha+OIII bicolor recommended.
M97,M97 – Owl Nebula,11:14:48,+55:01,3,9.9,nebula,planetary,Ursa Major,True,Large faint planetary nebula. The two dark holes give it the owl appearance.,Very low surface brightness — needs long integration. OIII filter helps.
M31,M31 – Andromeda Galaxy,0:42:44,+41:16,190,3.4,galaxy,spiral,Andromeda,False,Nearest large galaxy — so large it needs a mosaic or ultra-wide instrument to capture fully.,The core overexposes quickly; use shorter subs or HDR stacking. Dust lanes shine in RGB.
M32,M32 – Andromeda Satellite,0:42:42,+40:52,8,8.7,galaxy,elliptical,Andromeda,False,Dwarf elliptical satellite of M31. Often included in Andromeda frames.,Included automatically when framing M31. Compact and bright.
M110,M110 – Andromeda Satellite,0:40:22,+41:41,17,8.1,galaxy,elliptical,Andromeda,False,The larger satellite of M31. Included in most Andromeda wide-field images.,Frame M31 wide to include both M32 and M110.
M33,M33 – Triangulum Galaxy,1:33:51,+30:39,73,5.7,galaxy,spiral,Triangulum,False,Third largest in the Local Group. Large but low surface brightness.,Wide-field essential. Ha filter reveals spectacular HII regions including NGC 604.
M51,M51 – Whirlpool Galaxy,13:29:53,+47:12,12,8.4,galaxy,spiral,CVn,False,Face-on spiral with companion NGC 5195 — an iconic interacting pair.,Higher focal length resolves the spiral arms. Aim for 3h+ total integration.
M81,M81 – Bode's Galaxy,9:55:33,+69:04,27,6.9,galaxy,spiral,Ursa Major,False,Bright grand-design spiral. Pairs beautifully with M82 in one wide frame.,Circumpolar from Sofia — accessible all year. 2h brings out the spiral structure.
M82,M82 – Cigar Galaxy,9:55:52,+69:41,11,8.4,galaxy,irregular,Ursa Major,False,Edge-on starburst galaxy next to M81. Its Ha filaments are a beautiful bonus.,Frame M81 and M82 together. Ha filter captures the starburst jets.
M101,M101 – Pinwheel Galaxy,14:03:12,+54:21,29,7.9,galaxy,spiral,Ursa Major,False,Large face-on spiral with prominent HII regions.,Low surface brightness — needs dark skies and long integration. 4h+ ideal.
